Model,Type,Scenario,Region,Variable,Unit,2010,2020,2030,2040,2050,2055,2070
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Primary Energy,Mtoe/yr,,147.2,199,,,250,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Primary Energy|Renewables,Mtoe/yr,,24.6,40.6,,,125,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Primary Energy|Gas,Mtoe/yr,,39.8,47.7,,,29.3,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Primary Energy|Oil,Mtoe/yr,,42.2,54.8,,,14,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Primary Energy|Nuclear,Mtoe/yr,,,8,,,73.3,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Primary Energy|Coal,Mtoe/yr,,40.6,47.9,,,9,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy,Mtoe/yr,,105.5,139.6,,,164,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Industry,Mtoe/yr,,36.3,52.1,,,,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Residential,Mtoe/yr,,25.8,29.5,,,,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Commercial,Mtoe/yr,,16.4,20.7,,,,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Transportation,Mtoe/yr,,27,37.3,,,,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Solids,Mtoe/yr,,,16.5,,,,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Liquids,Mtoe/yr,,,45.5,,,,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Gases,Mtoe/yr,,,33.7,,,,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Renewables,Mtoe/yr,,,7,,,,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Heat,Mtoe/yr,,,3.9,,,,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Electricity,Mtoe/yr,,23,33,,,91.2,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Industry|Electricity,TWh/yr,,120,181.1,,,,
MENR (2023),Linear Programming,CO2 Scenario,Turkey,Final Energy|Residential|Electricity,TWh/yr,,60.7,83.1,,,,
